zone_id,map_id,region_id,value01,value02,value03,value04,center_x,center_y,center_z,radius
1,1,1,0,1,270,0,-991,259,236,10
1,1,2,0,2,90,0,-879,221,185,10
1,1,3,0,3,90,0,-880,221,284,10
1,1,4,0,4,360,0,-364,148,556,10
1,1,5,0,6,270,0,-459,148,391,10
1,1,6,0,5,90,0,-256,148,395,10
1,1,7,0,8,360,0,-244,35,-496,10
1,1,8,0,9,360,0,-1092,35,-959,10
1,1,9,0,10,90,0,225,0,-1305,10
1,1,10,0,12,180,0,-1066,0,-1637,10
1,1,11,0,13,180,0,-582,0,-1719,10
1,1,12,0,14,360,0,-578,0,-1947,10
1,1,13,0,15,360,0,-682,0,-1949,10
1,1,14,0,15,360,0,-1201,0,-1867,10
1,1,15,0,15,360,0,-1380,0,-1964,10
1,1,16,0,15,360,0,-1660,0,-864,10
1,1,17,0,15,360,0,-1656,0,-760,10
1,1,18,0,15,360,0,563,0,-1065,10
1,1,19,0,15,360,0,560,0,-964,10
1,1,20,0,15,360,0,434,53,-822,10
1,1,21,0,7,180,0,-10,0,-1546,10
1,1,22,0,11,270,0,-1264,0,-1539,10
1,1,23,0,137,90,0,-567,35,-1136,10
1,1,24,0,140,270,0,-689,35,-1115,10
1,1,25,0,144,360,0,-1022,35,-632,10
1,1,26,0,147,360,0,-695,49,-748,10
1,1,27,0,15,360,0,-1555,0,-1222,10
1,1,28,0,15,360,0,-1521,53,-576,10
1,1,29,0,15,360,0,584,0,-1659,10
1,1,30,0,15,360,0,-70,0,-1824,10
1,1,31,0,15,360,0,363,0,-619,10
1,1,32,0,15,360,0,182,151,717,10
1,1,33,0,15,360,0,-1386,219,365,10
1,1,34,0,15,360,0,-1381,219,202,10
1,1,35,0,15,360,0,306,130,563,10
1,1,36,0,15,360,0,437,53,-1234,10
1,1,37,0,15,360,0,435,53,-1389,10
1,1,38,0,15,360,0,385,53,-1826,10
1,1,39,0,15,360,0,222,53,-1829,10
1,1,40,0,15,360,0,-764,53,-1825,10
1,1,41,0,15,360,0,-980,53,-1827,10
1,1,42,0,15,360,0,-1505,53,-1867,10
1,1,43,0,15,360,0,-1506,53,-1740,10
1,1,44,0,15,360,0,-1507,53,-1492,10
1,1,45,0,15,360,0,-1506,53,-1366,10
1,1,46,0,15,360,0,-1523,53,-1051,10
1,1,47,0,15,360,0,-226,0,-1848,10
1,1,48,0,15,360,0,-1134,239,700,10
1,1,49,0,15,360,0,-908,239,698,10
2,2,1,0,378,378,1,3359,0,3842,10
2,2,2,0,378,378,1,3450,0,3915,10
2,2,3,0,378,378,1,3375,0,3932,10
2,2,4,0,378,378,1,3434,0,3833,10
2,2,5,0,379,379,1,3453,0,3884,10
2,2,6,0,380,380,1,3444,0,3859,10
2,2,7,0,379,379,1,3407,0,3829,10
2,2,8,0,380,380,1,3382,0,3831,10
2,2,9,0,379,379,1,3352,0,3872,10
2,2,10,0,380,380,1,3357,0,3903,10
2,2,11,0,379,379,1,3403,0,3943,10
2,2,12,0,380,380,1,3431,0,3935,10
2,2,1,0,380,380,1,-1852,0,-699,10
2,2,2,0,380,380,1,-1834,0,-680,10
2,2,3,0,380,380,1,-1777,0,-735,10
2,2,4,0,380,380,1,-1835,0,-759,10
2,2,5,0,380,380,1,-1791,0,-749,10
2,2,6,0,380,380,1,-1861,0,-728,10
2,2,7,0,380,380,1,-1809,0,-672,10
